website,source,size,hash
a-z-animals.com,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
allafrica.com,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
allevents.in,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
altibbi.com,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
anime-sama.fr,t.seedtag.com/ps/seller/decision-logic.js,1742,2c006ff82462eae7f88419d76beed8dc1b2f9c1c84c3f06e0ebb261839640092
as.com,securepubads.g.doubleclick.net/td/sjs,33562,71b5d2df8b46db8a59a213b7ac39ff75fd91f48b96f4dc8205fc8f3f60d6a30c
bulbagarden.net,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
chess-results.com,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
convertio.co,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
deadspin.com,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
deepai.org,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
depor.com,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
dir.bg,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
dotesports.com,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
doxygen.nl,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
drudgereport.com,securepubads.g.doubleclick.net/td/sjs,33562,71b5d2df8b46db8a59a213b7ac39ff75fd91f48b96f4dc8205fc8f3f60d6a30c
e-noticies.cat,t.seedtag.com/ps/seller/decision-logic.js,1742,2c006ff82462eae7f88419d76beed8dc1b2f9c1c84c3f06e0ebb261839640092
ensedeciencia.com,t.seedtag.com/ps/seller/decision-logic.js,1742,2c006ff82462eae7f88419d76beed8dc1b2f9c1c84c3f06e0ebb261839640092
etoland.co.kr,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
football24.ua,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
futbol-11.com,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
gk24.pl,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
igram.world,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
kotaku.com,securepubads.g.doubleclick.net/td/sjs,33562,71b5d2df8b46db8a59a213b7ac39ff75fd91f48b96f4dc8205fc8f3f60d6a30c
kzgdz.com,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
lacuerda.net,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
loigiaihay.com,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
loteriasdominicanas.com,t.seedtag.com/ps/seller/decision-logic.js,1742,2c006ff82462eae7f88419d76beed8dc1b2f9c1c84c3f06e0ebb261839640092
musescore.com,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
www.meetup.com,securepubads.g.doubleclick.net/td/sjs,33562,71b5d2df8b46db8a59a213b7ac39ff75fd91f48b96f4dc8205fc8f3f60d6a30c
www.mic.com,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
www.motor1.com,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
www.motorsport.com,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
www.mykhel.com,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
www.nationalgeographic.com,securepubads.g.doubleclick.net/td/sjs,33562,71b5d2df8b46db8a59a213b7ac39ff75fd91f48b96f4dc8205fc8f3f60d6a30c
www.nefisyemektarifleri.com,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
www.newindianexpress.com,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
www.news18.com,securepubads.g.doubleclick.net/td/sjs,33562,71b5d2df8b46db8a59a213b7ac39ff75fd91f48b96f4dc8205fc8f3f60d6a30c
www.news24.com,securepubads.g.doubleclick.net/td/sjs,33562,71b5d2df8b46db8a59a213b7ac39ff75fd91f48b96f4dc8205fc8f3f60d6a30c
www.nme.com,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
www.novosti.rs,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
www.obozrevatel.com,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
www.orange.fr,securepubads.g.doubleclick.net/td/sjs,33562,71b5d2df8b46db8a59a213b7ac39ff75fd91f48b96f4dc8205fc8f3f60d6a30c
www.outsideonline.com,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
www.parismatch.com,t.seedtag.com/ps/seller/decision-logic.js,1742,2c006ff82462eae7f88419d76beed8dc1b2f9c1c84c3f06e0ebb261839640092
www.parlons-basket.com,t.seedtag.com/ps/seller/decision-logic.js,1742,2c006ff82462eae7f88419d76beed8dc1b2f9c1c84c3f06e0ebb261839640092
www.pcgamer.com,securepubads.g.doubleclick.net/td/sjs,33562,71b5d2df8b46db8a59a213b7ac39ff75fd91f48b96f4dc8205fc8f3f60d6a30c
www.pciconcursos.com.br,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
www.pinkvilla.com,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
www.popsci.com,securepubads.g.doubleclick.net/td/sjs,33562,71b5d2df8b46db8a59a213b7ac39ff75fd91f48b96f4dc8205fc8f3f60d6a30c
