website,source,size,hash
akismet.com,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
alison.com,td.doubleclick.net/td/bjs,162752,eb8792e21d89b6b83e46f9eea321455bbe02a7bffb88996382d8b25f5b3106da
amplitude.com,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
articulate.com,td.doubleclick.net/td/bjs,162752,eb8792e21d89b6b83e46f9eea321455bbe02a7bffb88996382d8b25f5b3106da
auth0.com,td.doubleclick.net/td/bjs,148581,c9e7d72fe2417e8212545a90eebe19ae289a10af8e6d788da7364174a21d6e3c
bitly.com,td.doubleclick.net/td/bjs,162752,eb8792e21d89b6b83e46f9eea321455bbe02a7bffb88996382d8b25f5b3106da
bitwarden.com,td.doubleclick.net/td/bjs,148581,c9e7d72fe2417e8212545a90eebe19ae289a10af8e6d788da7364174a21d6e3c
booklive.jp,td.doubleclick.net/td/bjs,174707,c295cb31ac9eda96c720f2e2f36e26d6847ca5ca5fb58d9368761d28042d6e2d
bunny.net,td.doubleclick.net/td/bjs,162752,eb8792e21d89b6b83e46f9eea321455bbe02a7bffb88996382d8b25f5b3106da
casetext.com,td.doubleclick.net/td/bjs,162752,eb8792e21d89b6b83e46f9eea321455bbe02a7bffb88996382d8b25f5b3106da
clinch.co,td.doubleclick.net/td/bjs,148581,c9e7d72fe2417e8212545a90eebe19ae289a10af8e6d788da7364174a21d6e3c
codecanyon.net,td.doubleclick.net/td/bjs,174707,c295cb31ac9eda96c720f2e2f36e26d6847ca5ca5fb58d9368761d28042d6e2d
comic.k-manga.jp,fledge.ladsp.com/bidding_logic/v0/bidding_logic.js,4315,766681016e20629adbeb4c02a9f64e00264a6240dbda5cf7e8e1ed56c8d671d7
cpanel.net,td.doubleclick.net/td/bjs,148581,c9e7d72fe2417e8212545a90eebe19ae289a10af8e6d788da7364174a21d6e3c
creativemarket.com,td.doubleclick.net/td/bjs,162752,eb8792e21d89b6b83e46f9eea321455bbe02a7bffb88996382d8b25f5b3106da
cricut.com,td.doubleclick.net/td/bjs,162752,eb8792e21d89b6b83e46f9eea321455bbe02a7bffb88996382d8b25f5b3106da
customer.io,td.doubleclick.net/td/bjs,162752,eb8792e21d89b6b83e46f9eea321455bbe02a7bffb88996382d8b25f5b3106da
epson.com,td.doubleclick.net/td/bjs,162752,eb8792e21d89b6b83e46f9eea321455bbe02a7bffb88996382d8b25f5b3106da
ezmob.com,td.doubleclick.net/td/bjs,162752,eb8792e21d89b6b83e46f9eea321455bbe02a7bffb88996382d8b25f5b3106da
www.hostinger.com,td.doubleclick.net/td/bjs,148531,537bf9a5daed0e8bfdb9ae5efb8e870c60ff38b38523b33b59dc9fe5e76ed35e
www.hotjar.com,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
www.hottopic.com,td.doubleclick.net/td/bjs,162752,eb8792e21d89b6b83e46f9eea321455bbe02a7bffb88996382d8b25f5b3106da
www.housecallpro.com,td.doubleclick.net/td/bjs,174707,c295cb31ac9eda96c720f2e2f36e26d6847ca5ca5fb58d9368761d28042d6e2d
www.hp.com,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
www.hsn.com,td.doubleclick.net/td/bjs,148531,537bf9a5daed0e8bfdb9ae5efb8e870c60ff38b38523b33b59dc9fe5e76ed35e
