final,name,open,started,succeeded,selfTestFail,errors,patterns,snippets,initialUrl,finalUrl
False,,False,False,False,False,[],"['/we (use|serve)( optional)? cookies/gi', '/use of cookies/gi', '/(this|our) (web)?site.*cookies/gi']","['We use cookies', 'use of cookies', 'our website, you agree to the use of cookies']",http://123rf.com/,https://www.123rf.com/
False,,False,False,False,False,[],['/(this|our) (web)?site.*cookies/gi'],['Our website need cookies'],http://1fichier.com/,https://1fichier.com/
False,,False,False,False,False,[],['/we (use|serve)( optional)? cookies/gi'],['We use cookies'],http://1password.com/,https://1password.com/
True,Onetrust,True,True,True,False,[],[],[],http://20min.ch/,https://www.20min.ch/
False,,False,False,False,False,[],['/(this|our) (web)?site.*cookies/gi'],['This website uses cookies'],http://list.ly/,https://list.ly/
False,,False,False,False,False,[],['/accept all/gi'],['accept all'],http://listcrawler.eu/,https://listcrawler.eu/
False,,False,False,False,False,[],"['/we (use|serve)( optional)? cookies/gi', '/use of cookies/gi', '/(this|our) (web)?site.*cookies/gi', '/cookies (and|or) .* technologies/gi', '/consent to.*cookies/gi']","['we use cookies', 'use of cookies', 'our website! Before you start using our website, please note that we use cookies and similar technologies to enhance your website experience, analyze traffic and usage, personalize content to your pre', 'cookies and similar technologies to enhance your website experience, analyze traffic and usage, personalize content to your preferences, and assist in our marketing efforts. By using our website, you ', 'consent to allow us, and our partners, to collect, use, retrieve, and store cookies and similar technologies on your computer or other devices. You can revoke your consent at any time in your computer']",http://livechat.com/,https://www.livechat.com/
False,,False,False,False,False,[],"['/we (use|serve)( optional)? cookies/gi', '/use of cookies/gi', '/(this|our) (web)?site.*cookies/gi', '/cookies (and|or) .* technologies/gi', '/consent to.*cookies/gi']","['we use cookies', 'use of cookies', 'our website! Before you start using our website, please note that we use cookies and similar technologies to enhance your website experience, analyze traffic and usage, personalize content to your pre', 'cookies and similar technologies to enhance your website experience, analyze traffic and usage, personalize content to your preferences, and assist in our marketing efforts. By using our website, you ', 'consent to allow us, and our partners, to collect, use, retrieve, and store cookies and similar technologies on your computer or other devices. You can revoke your consent at any time in your computer']",http://livechatinc.com/,https://www.livechat.com/
False,,False,False,False,False,[],"['/accept cookies/gi', '/we (use|serve)( optional)? cookies/gi', '/cookies (and|or) .* technologies/gi']","['Accept Cookies', 'We use cookies', 'cookies and similar technologies']",http://livejasmin.com/,https://www.livejasmin.com/en/girls/
True,Onetrust,True,True,True,False,[],"['/accept all/gi', '/we (use|serve)( optional)? cookies/gi']","['Accept All', 'We use cookies']",http://liveperson.net/,https://www.liveperson.com/
True,quantcast,True,True,True,False,[],"['/such as cookies/gi', '/we and our partners.*cookies/gi', '/we.*store.*information.*such as.*cookies/gi', '/store and\\/or access information.*on a device/gi', '/personalised ads and content, ad and content measurement/gi']","['such as cookies', 'We and our partners store and/or access information on a device, such as cookies', 'store and/or access information on a device', 'personalised ads and content, ad and content measurement']",http://liverpoolecho.co.uk/,https://www.liverpoolecho.co.uk/
True,Onetrust,True,True,True,False,[],[],[],http://livescore.com/,https://www.livescore.com/en/
True,Onetrust,True,True,True,False,[],"['/reject all/gi', '/(this|our) (web)?site.*cookies/gi', '/such as cookies/gi', '/store and\\/or access information.*on a device/gi']","['Reject All', 'this site by personalizing the content and ads you view if you agree to let us use web tracking technologies such as cookies', 'such as cookies', 'Store and/or access information on a device']",http://livescore.in/,https://www.livescore.in/
True,Onetrust,True,True,True,False,[],"['/reject all/gi', '/(this|our) (web)?site.*cookies/gi', '/such as cookies/gi', '/store and\\/or access information.*on a device/gi']","['Reject All', 'this site by personalizing the content and ads you view if you agree to let us use web tracking technologies such as cookies', 'such as cookies', 'Store and/or access information on a device']",http://livesport.com/,https://www.livesport.com/en/
True,Onetrust,True,True,True,False,[],[],[],http://livesport.cz/,https://www.livesport.cz/
True,iubenda,True,True,True,False,[],"['/cookies (and|or) .* technologies/gi', '/store and\\/or access information.*on a device/gi']","['cookies or similar technologies', 'store and/or access information on a device']",http://sputniknews.com/,https://sputnikglobe.com/
True,Onetrust,True,True,True,False,[],[],[],http://square-enix.com/,https://www.square-enix.com/
False,,False,False,False,False,[],"['/use of cookies/gi', '/(this|our) (web)?site.*cookies/gi']","['use of cookies', 'this site uses cookies. Continuing to use Squirt means you agree to our use of cookies. Find out more about the cookies']",http://squirt.org/,https://www.squirt.org/
True,usercentrics-api,True,True,True,False,[],[],[],http://srf.ch/,https://www.srf.ch/
False,Moove,False,False,False,False,[],[],[],http://ssl.com/,https://www.ssl.com/
True,Onetrust,True,True,True,False,[],"['/accept all/gi', '/we (use|serve)( optional)? cookies/gi', '/(this|our) (web)?site.*cookies/gi']","['Accept all', 'We use cookies', 'our site work. We may also use additional cookies']",http://ssrn.com/,https://www.ssrn.com/index.cfm/en/
True,gov.uk,True,True,True,False,[],['/we (use|serve)( optional)? cookies/gi'],['We use cookies'],http://data.gov.uk/,https://www.data.gov.uk/
False,,False,False,False,False,[],['/by continuing/gi'],['By continuing'],http://datacamp.com/,https://www.datacamp.com/
False,Evidon,True,True,False,False,[],[],[],http://datawire.net/,https://www.carat.fiserv.com/en-us/solutions/payment-engine/?source=firstdata
False,Onetrust,True,True,False,False,[],"['/by clicking.*(accept|agree|allow)/gi', '/we (use|serve)( optional)? cookies/gi']","['By clicking “Create Account” you agree', 'By clicking “Sign\xa0in\xa0via\xa0Google” you agree', 'We use cookies', 'we use cookies']",http://datemyage.com/,https://www.datemyage.com/
False,Onetrust,True,True,False,False,[],"['/by clicking.*(accept|agree|allow)/gi', '/we (use|serve)( optional)? cookies/gi']","['By clicking “Create Account” you agree', 'By clicking “Sign\xa0in\xa0via\xa0Google” you agree', 'We use cookies', 'we use cookies']",http://dating.com/,https://www.dating.com/
False,Onetrust,True,True,False,False,[],[],[],http://datto.com/,https://www.datto.com/
True,com_didomi.io,True,True,True,False,[],[],[],http://20minutes.fr/,https://www.20minutes.fr/
True,Onetrust,True,True,True,False,[],['/accept all/gi'],['Accept all'],http://accor.com/,https://group.accor.com/
True,iubenda,True,True,True,False,[],"['/use of cookies/gi', '/cookies (and|or) .* technologies/gi', '/consent to.*cookies/gi', '/store and\\/or access information.*on a device/gi']","['Use of cookies', 'cookies or similar technologies', 'cookies and keep browsing. If you click on ""Accept and close"" you will consent to all cookies or similar technologies', 'consent to the profiling cookies and keep browsing. If you click on ""Accept and close"" you will consent to all cookies or similar technologies. If you click on ""Cookie Settings"" you will able to confi', 'store and/or access information on a device']",http://altervista.org/,https://en.altervista.org/
True,Complianz notice,True,True,True,False,[],['/(this|our) (web)?site.*cookies/gi'],['This website uses cookies'],http://ams.org/,https://www.ams.org/home/page
False,,False,False,False,False,[],"['/accept all/gi', '/reject all/gi', '/we (use|serve)( optional)? cookies/gi', '/(this|our) (web)?site.*cookies/gi', '/we and our partners.*cookies/gi']","['Accept all', 'Reject all', 'we use cookies', 'our sites and apps, we use cookies', 'we and our partners (including 239 who are part of the IAB Transparency & Consent Framework) will also use cookies']",http://aol.co.uk/,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_e5e794e9-b1f4-4bc6-a368-f4b948a20393
False,,False,False,False,False,[],"['/accept all/gi', '/by clicking.*(accept|agree|allow)/gi', '/we (use|serve)( optional)? cookies/gi']","['Accept All', 'By clicking “Accept All,” you agree', 'We use cookies']",http://artsy.net/,https://www.artsy.net/
True,cookie-notice,True,True,True,False,[],[],[],http://atlanticcouncil.org/,https://www.atlanticcouncil.org/
False,,False,False,False,False,[],"['/by continuing/gi', '/we (use|serve)( optional)? cookies/gi', '/(this|our) (web)?site.*cookies/gi', '/consent to.*cookies/gi']","['By continuing', 'We use cookies', 'our website traffic. By continuing to use our website, you consent to our cookies', 'consent to our cookies']",http://unacademy.com/,https://unacademy.com/
True,Onetrust,True,True,True,False,[],"['/accept all/gi', '/by clicking.*(accept|agree|allow)/gi']","['Accept All', 'By clicking “Accept All Cookies”, you agree']",http://unbounce.com/,https://unbounce.com/
