website,source,size,hash
19216811.uno,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
altibbi.com,t.seedtag.com/ps/seller/decision-logic.js,1742,2c006ff82462eae7f88419d76beed8dc1b2f9c1c84c3f06e0ebb261839640092
anime-sama.fr,t.seedtag.com/ps/seller/decision-logic.js,1742,2c006ff82462eae7f88419d76beed8dc1b2f9c1c84c3f06e0ebb261839640092
apkmodget.com,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
apkpure.com,securepubads.g.doubleclick.net/td/sjs,33562,71b5d2df8b46db8a59a213b7ac39ff75fd91f48b96f4dc8205fc8f3f60d6a30c
canalturf.com,t.seedtag.com/ps/seller/decision-logic.js,1742,2c006ff82462eae7f88419d76beed8dc1b2f9c1c84c3f06e0ebb261839640092
castbox.fm,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
disway.id,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
e-noticies.cat,t.seedtag.com/ps/seller/decision-logic.js,1742,2c006ff82462eae7f88419d76beed8dc1b2f9c1c84c3f06e0ebb261839640092
ensedeciencia.com,t.seedtag.com/ps/seller/decision-logic.js,1742,2c006ff82462eae7f88419d76beed8dc1b2f9c1c84c3f06e0ebb261839640092
gordonua.com,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
imagemagick.org,securepubads.g.doubleclick.net/td/sjs,33562,71b5d2df8b46db8a59a213b7ac39ff75fd91f48b96f4dc8205fc8f3f60d6a30c
index.hu,securepubads.g.doubleclick.net/td/sjs,33562,71b5d2df8b46db8a59a213b7ac39ff75fd91f48b96f4dc8205fc8f3f60d6a30c
inews.co.uk,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
linux.org,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
list.ly,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
loigiaihay.com,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
miaucomics.org,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
obrazovaka.ru,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
okdiario.com,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
onefootball.com,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
pt.quizur.com,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
router-network.com,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
snapinsta.app,securepubads.g.doubleclick.net/td/sjs,33562,71b5d2df8b46db8a59a213b7ac39ff75fd91f48b96f4dc8205fc8f3f60d6a30c
www.enikos.gr,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
www.expansion.com,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
www.fimfiction.net,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
www.flashscore.com.tr,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
www.flashscore.sk,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
www.fmkorea.com,securepubads.g.doubleclick.net/td/sjs,33562,71b5d2df8b46db8a59a213b7ac39ff75fd91f48b96f4dc8205fc8f3f60d6a30c
www.footmercato.net,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
www.frandroid.com,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
www.handelsblatt.com,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
www.heise.de,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
www.idnes.cz,securepubads.g.doubleclick.net/td/sjs,33562,71b5d2df8b46db8a59a213b7ac39ff75fd91f48b96f4dc8205fc8f3f60d6a30c
www.ieidiseis.gr,securepubads.g.doubleclick.net/td/sjs,33569,e2a83295d0c9f213059a930855d0d0b244dad7e5493fa0f2f26e46219bcb76ae
www.israelhayom.co.il,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
www.ixbt.com,securepubads.g.doubleclick.net/td/sjs,33562,71b5d2df8b46db8a59a213b7ac39ff75fd91f48b96f4dc8205fc8f3f60d6a30c
www.jagranjosh.com,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
www.koreaherald.com,securepubads.g.doubleclick.net/td/sjs,33569,e2a83295d0c9f213059a930855d0d0b244dad7e5493fa0f2f26e46219bcb76ae
www.larousse.fr,t.seedtag.com/ps/seller/decision-logic.js,1742,2c006ff82462eae7f88419d76beed8dc1b2f9c1c84c3f06e0ebb261839640092
www.lecturas.com,t.seedtag.com/ps/seller/decision-logic.js,1742,2c006ff82462eae7f88419d76beed8dc1b2f9c1c84c3f06e0ebb261839640092
www.libero.it,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
www.liberoquotidiano.it,t.seedtag.com/ps/seller/decision-logic.js,1742,2c006ff82462eae7f88419d76beed8dc1b2f9c1c84c3f06e0ebb261839640092
www.livescore.in,securepubads.g.doubleclick.net/td/sjs,33562,71b5d2df8b46db8a59a213b7ac39ff75fd91f48b96f4dc8205fc8f3f60d6a30c
www.marca.com,t.seedtag.com/ps/seller/decision-logic.js,1742,2c006ff82462eae7f88419d76beed8dc1b2f9c1c84c3f06e0ebb261839640092
www.minhngoc.net.vn,securepubads.g.doubleclick.net/td/sjs,33562,71b5d2df8b46db8a59a213b7ac39ff75fd91f48b96f4dc8205fc8f3f60d6a30c
www.mocospace.com,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
www.my-personaltrainer.it,t.seedtag.com/ps/seller/decision-logic.js,1742,2c006ff82462eae7f88419d76beed8dc1b2f9c1c84c3f06e0ebb261839640092
www.nalandaopenuniversity.com,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
www.newsday.com,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
www.otvfoco.com.br,securepubads.g.doubleclick.net/td/sjs,33562,71b5d2df8b46db8a59a213b7ac39ff75fd91f48b96f4dc8205fc8f3f60d6a30c
www.outsideonline.com,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
www.programme-television.org,t.seedtag.com/ps/seller/decision-logic.js,1742,2c006ff82462eae7f88419d76beed8dc1b2f9c1c84c3f06e0ebb261839640092
www.publico.es,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
www.ranker.com,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
www.repubblica.it,securepubads.g.doubleclick.net/td/sjs,33562,71b5d2df8b46db8a59a213b7ac39ff75fd91f48b96f4dc8205fc8f3f60d6a30c
www.rtl.de,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
www.rugbyrama.fr,t.seedtag.com/ps/seller/decision-logic.js,1742,2c006ff82462eae7f88419d76beed8dc1b2f9c1c84c3f06e0ebb261839640092
www.sarkariexam.com,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
www.seriouseats.com,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
www.simplyrecipes.com,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
www.spektrum.de,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
www.sports.fr,t.seedtag.com/ps/seller/decision-logic.js,1742,2c006ff82462eae7f88419d76beed8dc1b2f9c1c84c3f06e0ebb261839640092
www.teenee.com,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
www.tiscali.it,t.seedtag.com/ps/seller/decision-logic.js,1742,2c006ff82462eae7f88419d76beed8dc1b2f9c1c84c3f06e0ebb261839640092
www.tuazar.com,t.seedtag.com/ps/seller/decision-logic.js,1742,2c006ff82462eae7f88419d76beed8dc1b2f9c1c84c3f06e0ebb261839640092
www.tupaki.com,t.seedtag.com/ps/seller/decision-logic.js,1742,2c006ff82462eae7f88419d76beed8dc1b2f9c1c84c3f06e0ebb261839640092
www.turfomania.fr,t.seedtag.com/ps/seller/decision-logic.js,1742,2c006ff82462eae7f88419d76beed8dc1b2f9c1c84c3f06e0ebb261839640092
www.universetoday.com,securepubads.g.doubleclick.net/td/sjs,33569,e2a83295d0c9f213059a930855d0d0b244dad7e5493fa0f2f26e46219bcb76ae
www.vinted.co.uk,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
www.virgilio.it,t.seedtag.com/ps/seller/decision-logic.js,1742,2c006ff82462eae7f88419d76beed8dc1b2f9c1c84c3f06e0ebb261839640092
xoso.mobi,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
xskt.com.vn,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
xsmn.mobi,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
tech12h.com,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
tw.hjwzw.com,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
uranai.nosv.org,securepubads.g.doubleclick.net/td/sjs,33562,71b5d2df8b46db8a59a213b7ac39ff75fd91f48b96f4dc8205fc8f3f60d6a30c
vietnamnet.vn,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
wallpapers.com,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
www.20minutes.fr,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
www.20minutos.es,securepubads.g.doubleclick.net/td/sjs,33562,71b5d2df8b46db8a59a213b7ac39ff75fd91f48b96f4dc8205fc8f3f60d6a30c
www.24sata.hr,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
www.ansa.it,t.seedtag.com/ps/seller/decision-logic.js,1742,2c006ff82462eae7f88419d76beed8dc1b2f9c1c84c3f06e0ebb261839640092
www.ap7am.com,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
www.apachelounge.com,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
www.audacy.com,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
www.augsburger-allgemeine.de,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
www.chichi-pui.com,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
www.chickensmoothie.com,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
www.clara.es,t.seedtag.com/ps/seller/decision-logic.js,1742,2c006ff82462eae7f88419d76beed8dc1b2f9c1c84c3f06e0ebb261839640092
www.closermag.fr,t.seedtag.com/ps/seller/decision-logic.js,1742,2c006ff82462eae7f88419d76beed8dc1b2f9c1c84c3f06e0ebb261839640092
www.comingsoon.it,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
www.cope.es,t.seedtag.com/ps/seller/decision-logic.js,1742,2c006ff82462eae7f88419d76beed8dc1b2f9c1c84c3f06e0ebb261839640092
www.croxyproxy.com,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
www.dailystar.co.uk,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
www.daum.net,securepubads.g.doubleclick.net/td/sjs,33562,71b5d2df8b46db8a59a213b7ac39ff75fd91f48b96f4dc8205fc8f3f60d6a30c
www.dhnet.be,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
suki-kira.com,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
www.elespanol.com,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
www.otomoto.pl,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
